idade,emprego,estado_civil,educacao,saldo_bancario,possui_casa,emprestimo,dia,mes,duracao,qtd_contato,deposito
59.0,admin.,married,secondary,2343.0,yes,no,5.0,may,1042.0,1.0,yes
56.0,admin.,married,secondary,45.0,no,no,5.0,may,1467.0,1.0,yes
41.0,technician,married,secondary,1270.0,yes,no,5.0,may,1389.0,1.0,yes
55.0,services,married,secondary,2476.0,yes,no,5.0,may,579.0,1.0,yes
54.0,admin.,married,tertiary,184.0,no,no,5.0,may,673.0,2.0,yes
42.0,management,single,tertiary,0.0,yes,yes,5.0,may,562.0,2.0,yes
56.0,management,married,tertiary,830.0,yes,yes,6.0,may,1201.0,1.0,yes
60.0,retired,divorced,secondary,545.0,yes,no,6.0,may,1030.0,1.0,yes
37.0,technician,married,secondary,1.0,yes,no,6.0,may,608.0,1.0,yes
28.0,services,single,secondary,5090.0,yes,no,6.0,may,1297.0,3.0,yes
38.0,admin.,single,secondary,100.0,yes,no,7.0,may,786.0,1.0,yes
30.0,blue-collar,married,secondary,309.0,yes,no,7.0,may,1574.0,2.0,yes
29.0,management,married,tertiary,199.0,yes,,,may,1689.0,4.0,yes
46.0,blue-collar,single,tertiary,460.0,yes,,,may,1102.0,2.0,yes
,technician,single,tertiary,703.0,yes,,,may,943.0,2.0,yes
35.0,management,divorced,tertiary,3837.0,yes,,,may,1084.0,1.0,yes
32.0,blue-collar,single,primary,611.0,yes,,,may,541.0,3.0,yes
49.0,services,married,secondary,-8.0,yes,no,8.0,may,1119.0,1.0,yes
41.0,admin.,married,secondary,55.0,yes,no,8.0,may,1120.0,2.0,yes
49.0,admin.,divorced,secondary,168.0,yes,yes,8.0,may,513.0,1.0,yes
28.0,admin.,divorced,secondary,785.0,,no,8.0,may,442.0,2.0,yes
43.0,management,single,tertiary,2067.0,,no,8.0,may,756.0,1.0,yes
43.0,management,divorced,tertiary,388.0,,no,8.0,may,2087.0,2.0,yes
43.0,blue-collar,married,primary,-192.0,,no,8.0,may,1120.0,2.0,yes
37.0,unemployed,single,secondary,381.0,,no,8.0,may,985.0,2.0,yes
35.0,blue-collar,single,secondary,40.0,yes,no,9.0,may,617.0,4.0,yes
,technician,single,tertiary,22.0,yes,no,9.0,may,483.0,3.0,yes
43.0,blue-collar,single,secondary,3.0,yes,no,9.0,may,929.0,3.0,yes
,admin.,married,secondary,307.0,yes,no,9.0,may,538.0,1.0,yes
28.0,blue-collar,single,secondary,759.0,yes,no,9.0,may,710.0,1.0,yes
32.0,blue-collar,married,secondary,-1.0,yes,no,9.0,may,653.0,1.0,yes
