id_cliente,genero,idoso,casado,dependentes,meses_cliente,servico_de_telefone,varias_linhas,servico_de_internet,seguranca_online,backup_online,protecao_de_dispositivo,suporte_tecnico,tv,streaming_de_filmes,contrato,fatura_sem_papel,forma_de_pagamento,cobrancas_mensais,custos_totais,cancelou
7590-VHVEG,feminino,nao,sim,nao,1,nao,nao,DSL,nao,sim,nao,nao,nao,nao,mensal,sim,cheque eletronico,29.85,29.85,nao
5575-GNVDE,masculino,nao,nao,nao,34,sim,nao,DSL,sim,nao,sim,nao,nao,nao,anual,nao,cheque,56.95,1889.5,nao
3668-QPYBK,masculino,nao,nao,nao,2,sim,nao,DSL,sim,sim,nao,nao,nao,nao,mensal,sim,cheque,53.85,108.15,sim
7795-CFOCW,masculino,nao,nao,nao,45,nao,nao,DSL,sim,nao,sim,sim,nao,nao,anual,nao,transferencia bancaria,42.3,1840.75,nao
9237-HQITU,feminino,nao,nao,nao,2,sim,nao,fibra optica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,70.7,151.65,sim
9305-CDSKC,feminino,nao,nao,nao,8,sim,sim,fibra optica,nao,nao,sim,nao,sim,sim,mensal,sim,cheque eletronico,99.65,820.5,sim
1452-KIOVK,masculino,nao,nao,sim,22,sim,sim,fibra optica,nao,sim,nao,nao,sim,nao,mensal,sim,cartao de credito,89.1,1949.4,nao
6713-OKOMC,feminino,nao,nao,nao,10,nao,nao,DSL,sim,nao,nao,nao,nao,nao,mensal,nao,cheque,29.75,301.9,nao
7892-POOKP,feminino,nao,sim,nao,28,sim,sim,fibra optica,nao,nao,sim,sim,sim,sim,mensal,sim,cheque eletronico,104.8,3046.05,sim
6388-TABGU,masculino,nao,nao,sim,62,sim,nao,DSL,sim,sim,nao,nao,nao,nao,anual,nao,transferencia bancaria,56.15,3487.95,nao
9763-GRSKD,masculino,nao,sim,sim,13,sim,nao,DSL,sim,nao,nao,nao,nao,nao,mensal,sim,cheque,49.95,587.45,nao
7469-LKBCI,masculino,nao,nao,nao,16,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,nao,cartao de credito,18.95,326.8,nao
8091-TTVAX,masculino,nao,sim,nao,58,sim,sim,fibra optica,nao,nao,sim,nao,sim,sim,anual,nao,cartao de credito,100.35,5681.1,nao
0280-XJGEX,masculino,nao,nao,nao,49,sim,sim,fibra optica,nao,sim,sim,nao,sim,sim,mensal,sim,transferencia bancaria,103.7,5036.3,sim
5129-JLPIS,masculino,nao,nao,nao,25,sim,nao,fibra optica,sim,nao,sim,sim,sim,sim,mensal,sim,cheque eletronico,105.5,2686.05,nao
3655-SNQYZ,feminino,nao,sim,sim,69,sim,sim,fibra optica,sim,sim,sim,sim,sim,sim,bianual,nao,cartao de credito,113.25,7895.15,nao
8191-XWSZG,feminino,nao,nao,nao,52,sim,nao,nao,nao,nao,nao,nao,nao,nao,anual,nao,cheque,20.65,1022.95,nao
